"target_id"	"pval"	"qval"
"CLIC5"	1.44800169674118e-05	0.000974648780288328
"KANSL3"	1.44096063495221e-05	0.000974648780288328
"NABP2"	1.45092147071935e-05	0.000974648780288328
"IYD"	1.48596559959406e-05	0.000989765947476446
"RCN3"	1.48428963174028e-05	0.000989765947476446
"IMPA2"	1.51743903950227e-05	0.00100648288561272
"MAGEH1"	1.53473315734859e-05	0.00101369446116756
"TAP2"	1.54324830613254e-05	0.00101507157335868
"MCM7"	1.56008504825694e-05	0.00102188807351801
"CYB561A3"	1.61984624423009e-05	0.0010273825013772
"FOXO4"	1.57658463906933e-05	0.0010273825013772
"LDHA"	1.59962936510792e-05	0.0010273825013772
"MKNK2"	1.61174647773585e-05	0.0010273825013772
"NAB2"	1.60917629489335e-05	0.0010273825013772
"TOMM40"	1.62053872319094e-05	0.0010273825013772
"TPM4"	1.61863997480102e-05	0.0010273825013772
"YIPF2"	1.59738939869524e-05	0.0010273825013772
"PLPP6"	1.63525502463355e-05	0.00103256543275461
"SEPTIN8"	1.68492631020457e-05	0.00105969110489599
"GMPPA"	1.71866730102303e-05	0.00106814496117911
"STT3A"	1.7079209075879e-05	0.00106814496117911
"TAX1BP3"	1.71504156998434e-05	0.00106814496117911
"AMPD2"	1.76205011422421e-05	0.00107131533092519
"ARF1"	1.79205238672653e-05	0.00107131533092519
"ARHGAP23"	1.7844556642452e-05	0.00107131533092519
"CASP14"	1.74092673068755e-05	0.00107131533092519
"ERICH2"	1.79841988277699e-05	0.00107131533092519
"GK"	1.75508362255227e-05	0.00107131533092519
"MAP3K6"	1.79430391055782e-05	0.00107131533092519
"MAVS"	1.7977374770241e-05	0.00107131533092519
"MTHFD1L"	1.78849234522147e-05	0.00107131533092519
"NOL6"	1.78702569965301e-05	0.00107131533092519
"SLCO4A1"	1.75923275082499e-05	0.00107131533092519
"ADAMTS15"	1.8292823527425e-05	0.00108560342933809
"SPINK1"	1.83781599618385e-05	0.00108658289572128
"BMT2"	1.86382779094884e-05	0.00109549017945327
"EHF"	1.87454282559151e-05	0.00109549017945327
"HABP4"	1.88757968333517e-05	0.00109549017945327
"SEC24D"	1.88652101197697e-05	0.00109549017945327
"TMEM154"	1.88153834287906e-05	0.00109549017945327
"MT-CO3"	1.92081406177e-05	0.00110710151311365
"PHLDA3"	1.93008677276806e-05	0.00110710151311365
"RPL35"	1.93563928556548e-05	0.00110710151311365
"VDAC2"	1.92453931068674e-05	0.00110710151311365
"RAB38"	1.95692962596462e-05	0.00111523794496308
"LPCAT3"	1.99055946932868e-05	0.00113032272600081
