"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"TMED3"	160.52	229.81	210.05	237.46	135.44	160.54	134.2	143.51	209.46	143.42	0.54	0.00154459261668395	0.010042396642081	1.07900781987606
"TMED4"	74.71	100.63	104.68	92.47	78.05	101.93	93.3	85.07	93.12	89.58	0.06	0.227622093549527	0.275607506547647	0.0335825374799232
"TMED5"	36.11	48.75	44.58	44.33	32.48	45.73	41.56	40.57	43.45	40.09	0.11	0.193037523868581	0.240911562320296	0.0679956591547938
"TMED6"	0.7	1.35	1.19	1.21	1.67	1.09	1.54	1.06	1.12	1.34	-0.14	0.157976199015599	0.204621067210769	-0.0964669516413372
"TMED7"	56.69	68.38	68.32	63.95	57.84	66.68	65.27	61.79	64.33	62.89	0.03	0.0231142163845714	0.0539126802374179	0.0380492723081425
"TMED7-TICAM2"	14.03	16.34	17.32	13.16	9.87	5.27	4.73	5.95	15.21	6.45	1.12	0.00017667177247901	0.00275843537901056	2.86645764794586
"TMED8"	6.43	6.42	7.39	7.57	6.77	7.26	7.77	7.21	6.95	7.25	-0.05	0.0157128083264824	0.0430853556091457	-0.0682835159106072
"TMED9"	157.36	202.63	181.66	202.94	128.93	108.59	99.89	115.96	186.15	113.34	0.71	0.000209077549130141	0.00298898145123529	1.79237851384246
"TMEFF1"	0.25	0.23	0	0	0.53	0.78	0.08	0.07	0.12	0.37	-0.29	0.0150536038636964	0.0421874696856642	-0.398696791348836
"TMEFF2"	0.01	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM100"	0	0.07	0	0	0.09	0.02	0.11	0	0.02	0.06	-0.05	1	1	0
"TMEM101"	33.89	34.57	38.68	37.34	27.99	27.07	30.99	32.68	36.12	29.68	0.27	0.00961478945270463	0.0323316830936963	0.402400355405815
"TMEM102"	18.55	14.41	10.24	14.82	22.53	20.35	20.96	25.02	14.5	22.22	-0.58	0.00624304933433819	0.024975361579286	-0.929443165038943
"TMEM104"	12.05	13.96	13.27	13.28	10.35	10.09	7.06	7.7	13.14	8.8	0.53	0.00125820453277197	0.00879628731370162	1.08952131465613
"TMEM106A"	5.48	5.67	4.76	4.51	7.61	1.41	2.11	5.16	5.1	4.07	0.27	0.31674774197084	0.364444595827383	0.118359491039218
"TMEM106B"	52.31	73.64	70.41	57.21	54.63	69.38	68.14	62.18	63.39	63.58	0	0.510729480359486	0.559265786414737	0
"TMEM106C"	46.12	54.56	70.21	69.47	46.86	79.1	62.86	58.21	60.09	61.76	-0.04	1	1	0
"TMEM107"	11.38	13.82	11.15	13.69	12.43	13.19	11.57	15.7	12.51	13.22	-0.07	0.0880102245419404	0.130527001561356	-0.0619009746875744
"TMEM108"	0.14	0.03	0.03	0.07	0.04	0.09	0.22	0.01	0.07	0.09	-0.03	1	1	0
"TMEM109"	34.22	37.55	35.6	34.98	36.21	45.66	42.52	47.98	35.59	43.09	-0.27	0.00910343133448327	0.0313428063350388	-0.406042772611139
"TMEM11"	50.68	61.18	58.81	58.63	40.62	39.79	38.7	35.35	57.32	38.61	0.56	9.680118112878e-05	0.00200013539960592	1.511406738061
"TMEM114"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM115"	37.42	31.96	29.23	36.45	37.75	40.29	38.81	36.81	33.77	38.42	-0.18	0.0249727853429815	0.0563413447798065	-0.224851102433334
"TMEM116"	9.09	5.61	7.29	8.1	10.91	6.13	9.81	9.96	7.52	9.2	-0.26	0.120608907388724	0.166006819429627	-0.202767258490583
"TMEM117"	8.48	8.33	7.05	7.75	8.61	11.24	12.78	10.66	7.9	10.82	-0.41	0.00379062463502921	0.0182022998392307	-0.713348231739415
"TMEM119"	1.37	1.25	1.64	0.1	0.81	0.43	0.69	0.46	1.09	0.6	0.39	0.706543439812145	0.756220404154487	0.0473271274271705
"TMEM120A"	35.21	43.27	35.28	34.8	30.94	42.4	39.73	34.79	37.14	36.96	0.01	0.182805119547508	0.230381735364599	0.00637551954696714
"TMEM120B"	7.86	8.96	9.39	8.63	6.48	4.87	6.36	5.11	8.71	5.7	0.53	0.000308437238886482	0.00370547203429376	1.28851292383442
"TMEM121"	0.94	0.97	0.84	1.26	0.43	0.51	0.51	0.67	1	0.53	0.39	0.0141865403800905	0.0406191207529853	0.542595097834497
"TMEM121B"	0.07	0.04	0.08	0	0.06	0.02	0.02	0.04	0.05	0.04	0.01	1	1	0
"TMEM123"	306.6	290.33	445.78	292.95	233.11	233.74	354.17	279.91	333.92	275.23	0.28	0.108231777829252	0.152780724744038	0.228460801560902
"TMEM125"	29.11	30.31	49.51	37.66	28.39	19.51	18.78	19.14	36.65	21.45	0.75	0.00405923582860719	0.0190598146312888	1.28991099559855
"TMEM126A"	39.68	51.55	47.07	45.27	39.68	47.45	45.94	42.75	45.89	43.96	0.06	0.0532900979227551	0.0905140397900379	0.062597043083869
"TMEM126B"	46.17	57.9	48.38	53.64	52.17	65.12	66.35	58.19	51.52	60.46	-0.23	0.0244232638068612	0.0556439445799871	-0.288553880838708
"TMEM127"	34.98	33.34	35.58	38.79	44.64	50.01	52.08	50.37	35.67	49.28	-0.46	9.116948897067e-05	0.00196612234001502	-1.24493915257481
"TMEM128"	32.43	43.65	53.4	45.08	24.52	31.95	36.28	27.83	43.64	30.15	0.52	0.00225011544051629	0.0128371240852873	0.983596775631585
"TMEM129"	29.21	47.4	37.45	45.59	31.29	52.06	41.37	37.78	39.91	40.63	-0.02	1	1	0
"TMEM130"	0.5	0.4	0.55	0.12	0.78	0.16	0.24	0.24	0.39	0.36	0.04	1	1	0
"TMEM131"	18.82	18.2	17.33	23.12	20.12	18.52	19.88	21.87	19.37	20.1	-0.05	0.0530322951980416	0.090190331747995	-0.0522420007800776
"TMEM131L"	1.1	0.86	1.15	0.95	1.81	0.55	0.67	0.68	1.02	0.93	0.06	0.514381505848422	0.562952471666888	0.0149716961843139
"TMEM132A"	80.96	77.29	60.2	75.55	75.19	40.49	30.07	31.78	73.5	44.38	0.72	0.00447501453384096	0.0202821072153929	1.21887858660757
"TMEM132B"	0.07	0.01	0.02	0.03	0.03	0.03	0.01	0.07	0.03	0.04	0	1	1	0
"TMEM132C"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM132D"	0	0	0	0	0.02	0	0	0	0	0.01	-0.01	1	1	0
"TMEM132E"	0	0	0.02	0	0	0	0	0	0	0	0.01	1	1	0
"TMEM134"	68.9	82.84	70.01	75.75	61.14	56.03	52.68	45.24	74.38	53.77	0.46	0.000909589663700491	0.00721184451590957	0.985298676718572
"TMEM135"	13.39	16.23	14.24	15.89	15.82	17.81	15.41	14	14.94	15.76	-0.07	0.0587333151218049	0.096973550100702	-0.0709342693521009
"TMEM138"	25.49	26.07	31.36	26.43	22.21	23.22	26.31	21.88	27.34	23.41	0.22	0.0111934413102371	0.0354178521794754	0.319171111373378
"TMEM139"	47.42	45.81	48.17	51.86	65.16	114.37	113.3	123.73	48.32	104.14	-1.09	4.8973836702155e-05	0.00150233933595686	-3.07732283794115
"TMEM140"	20.94	19.91	28.08	22.25	38.3	38.55	48.82	44.32	22.8	42.5	-0.87	2.94017461371259e-06	0.000611230960299439	-2.79600135057082
"TMEM141"	87.17	101.07	117.06	123.3	68.34	97.92	95.87	87.52	107.15	87.41	0.29	0.00836435205177776	0.0297287020707512	0.442778974877035
"TMEM143"	4.69	6.56	6.38	8.09	6.73	8.91	9.66	6.87	6.43	8.04	-0.28	0.0559066317603965	0.0936582923665096	-0.287967054142914
"TMEM144"	22.86	42.06	27.49	37.8	19.05	33.17	27.16	28	32.55	26.84	0.27	0.306940494925117	0.354893624323437	0.121473486728491
"TMEM145"	0.18	0.31	0.53	0.29	1.6	0.54	1.12	1.12	0.33	1.09	-0.66	0.018229092199081	0.0468442860906222	-0.877366627720689
"TMEM147"	120.42	127.01	130.7	131.43	105.53	121.09	103.06	101.99	127.39	107.92	0.24	0.00793363944615648	0.0288905264814363	0.36941869051067
"TMEM14A"	22.66	27.97	30.72	29.1	21.29	33.86	27.53	23.65	27.61	26.58	0.05	0.448543046213675	0.496368771645922	0.0152097774674962
"TMEM14B"	99.81	109.43	109.36	113.53	85.24	85.41	97.32	94.3	108.03	90.57	0.25	0.0040843380008622	0.0191492009746393	0.429462335705102
"TMEM14C"	137.53	152.64	171.56	155.95	127.56	138.82	144.11	128.6	154.42	134.77	0.19	0.00738100880373709	0.0276302122304467	0.296136998050083
"TMEM150A"	21.51	23.35	20.16	18.99	22	20.76	23.11	20.14	21	21.5	-0.03	0.0370136728524472	0.0714649999570365	-0.0343771980664308
"TMEM150B"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM150C"	0.78	0.11	0.74	1.15	0.38	0.81	1.87	0.42	0.69	0.87	-0.14	1	1	0
"TMEM151A"	0.21	0.43	0.72	0.42	0.12	0.07	0.02	0.06	0.45	0.07	0.44	0.000866553530696482	0.00697573382742206	0.948820443605276
"TMEM151B"	0	0	0.04	0.01	0.01	0.02	0.29	0.04	0.01	0.09	-0.11	1	1	0
"TMEM154"	15.13	14.07	12.83	14.77	7.97	7.27	8.2	9.31	14.2	8.19	0.73	1.88153834287906e-05	0.00109549017945327	2.1610858032699
"TMEM156"	5.69	5.03	3.87	4.87	3.21	1.33	0.89	1.12	4.87	1.64	1.15	0.000229661674192198	0.00312014874491956	2.88169840688147
"TMEM158"	1.06	1.08	0.65	0.57	0.93	0.24	0.36	0.17	0.84	0.43	0.37	0.00531473409490297	0.0226568707594216	0.608576026884772
"TMEM160"	38.95	28.8	38.19	40.41	30.54	36.43	40.08	35.57	36.58	35.65	0.04	0.0690222223987691	0.108969377216419	0.0385078212473119
"TMEM161A"	18.58	23.13	20.13	27.26	21.35	18.73	21.62	17.05	22.28	19.69	0.17	0.0959584328914262	0.139368830768613	0.145491838385812
"TMEM161B"	22.67	25.45	28.29	28	19.72	28.3	30.01	28.04	26.1	26.52	-0.02	0.050628216124591	0.0875950262760625	-0.0211504110552193
"TMEM163"	0	0	0.04	0.07	0	0.05	0.12	0.16	0.03	0.08	-0.07	1	1	0
"TMEM164"	8.51	9.56	9.75	8.84	10.94	21.38	24.25	17.67	9.16	18.56	-0.94	0.000872927056746954	0.00701273614137782	-2.02486575131386
"TMEM165"	174.03	170.55	156.6	193.24	153.45	156.52	156.92	197.73	173.6	166.15	0.06	0.115824303419773	0.161035974439363	0.0475846256659356
"TMEM167A"	56.33	63.56	59.61	68.34	43.1	51.89	45.16	51.52	61.96	47.92	0.36	0.00153527713328272	0.00999830232095754	0.720026544788337
"TMEM167B"	59.4	67.28	79.36	69.17	43.83	46.17	50.27	47.08	68.8	46.84	0.55	3.24065555053984e-05	0.00129474638202739	1.58829841163318
"TMEM168"	13.65	14.8	14.05	14.88	13.5	17.36	23.19	24.37	14.35	19.6	-0.43	0.00993251528286678	0.0330094076327021	-0.636985775752372
"TMEM169"	1.06	1.57	0.97	0.87	0.96	0.66	1.84	0.95	1.12	1.1	0.01	1	1	0
"TMEM17"	3.92	3.82	2.86	3.53	3.25	3.21	3.25	3.89	3.53	3.4	0.04	0.0919527647047638	0.135104834663943	0.0347731643869192
"TMEM170A"	13.65	13.35	15.7	14.41	14.48	19.15	14.49	16.27	14.28	16.1	-0.16	0.0642328092832829	0.103576179482663	-0.157558417989712
"TMEM170B"	0.42	0.16	0.41	0.25	0.48	0.37	0.42	0.49	0.31	0.44	-0.13	0.0916434828924394	0.134700560608943	-0.11318197758235
"TMEM171"	2.11	0.72	0.56	0.5	2.28	0.43	0.38	0.69	0.97	0.94	0.02	1	1	0
"TMEM174"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM175"	20.17	24	20.1	22.03	21	25.42	23.64	19.63	21.58	22.42	-0.05	0.0591239501389961	0.0974249140808133	-0.0505664984270049
"TMEM176A"	0.3	0.08	0.24	0.26	1.15	0.45	0.57	2.17	0.22	1.08	-0.77	1	1	0
"TMEM176B"	0.45	0.04	0.09	0.66	0.93	0.5	0.97	2.44	0.31	1.21	-0.75	0.020509458542477	0.0501801476366309	-0.974601048950794
"TMEM177"	6.58	6.88	5.83	6.71	8.31	11.81	11.71	10.68	6.5	10.63	-0.63	0.000590225357802051	0.00545509221209788	-1.42581467936996
"TMEM178A"	4.08	4.17	4.53	3.26	4.58	1.8	3.48	3.29	4.01	3.29	0.23	0.256547043678605	0.30484393161539	0.118662162545908
"TMEM178B"	0.04	0.05	0.03	0	0.12	0.06	0.18	0.13	0.03	0.12	-0.12	0.00747053144951786	0.0278530489990763	-0.186615270819354
"TMEM179"	0	0	0	0.03	0.03	0	0	0.02	0.01	0.01	0	1	1	0
"TMEM179B"	66.22	66.66	66.63	79.72	73.32	96.63	93.3	84.72	69.81	86.99	-0.31	0.00568807052010775	0.023518041181357	-0.504865644583548
"TMEM18"	15.34	13.57	13.77	15.06	11.08	13.33	13	12.19	14.44	12.4	0.2	0.0240793543661443	0.0552414893218941	0.251546924253434
"TMEM181"	52.03	63.68	57.78	52.93	54.11	63.03	68.4	58.94	56.6	61.12	-0.11	0.0262111864915106	0.057861808132427	-0.136136879905596
"TMEM182"	10.81	12.41	17.43	15.24	9.74	6.46	9	9.12	13.97	8.58	0.64	0.00138034198370902	0.00933193942391034	1.29921797695335
"TMEM183A"	42.92	44.17	47.05	46.69	43.16	42.99	42.22	40.87	45.21	42.31	0.09	0.0111612308855077	0.0353607522078612	0.130633065456954
"TMEM184A"	60.75	87.43	79.54	101.39	53.64	115.49	139.63	118.1	82.28	106.72	-0.37	0.166682052529512	0.214043999123962	-0.247713869063278
"TMEM184B"	58.45	49.98	43.74	51.23	61.12	56.52	45.25	50.27	50.85	53.29	-0.07	0.211145944508327	0.259268036715032	-0.0410375714673897
"TMEM184C"	28.89	36.44	38.25	33.34	29.53	32.02	37.14	33.52	34.23	33.05	0.05	0.039480376742005	0.0743542385169758	0.0564347134875202
"TMEM185A"	28.97	26.47	26.39	26.43	28.74	22.53	22.2	26.8	27.06	25.07	0.11	0.0567767996325017	0.0947039897504937	0.112599489681196
"TMEM185B"	8.69	8.01	7.9	7.86	10.08	9.37	12.53	10.96	8.12	10.73	-0.36	0.00103532409287073	0.00776523527203619	-0.759544337314589
"TMEM186"	13.7	13.47	18.39	19.08	11.37	13.06	14.29	12.74	16.16	12.86	0.31	0.00975994673580773	0.0326247858854041	0.460800222267155
"TMEM187"	14.96	18.81	9.85	11.84	16.4	12.86	15.54	12.55	13.87	14.34	-0.05	0.125196486427835	0.170728380679838	-0.0383847139418815
"TMEM19"	10	9.79	9.5	9.74	11.13	20.66	22.68	16.64	9.76	17.78	-0.8	0.00181546542998815	0.0111513374621762	-1.56213843308039
"TMEM190"	0.63	0.7	0.56	0	1.1	1.08	0.89	0.58	0.47	0.91	-0.38	0.0495450624356647	0.0862028387092916	-0.40450180430119
"TMEM191B"	10.63	7.29	9.98	9.68	6.9	6.23	8.67	6.71	9.4	7.13	0.35	0.0652987842619772	0.104692931988581	0.343028923071338
"TMEM191C"	1.79	3.45	2.59	3.42	1.06	2.87	2.36	2.33	2.81	2.16	0.27	0.118238526446752	0.163442502494608	0.212391449128332
"TMEM192"	12.14	17.38	17.19	16.66	14.22	17.69	16.12	14.04	15.84	15.52	0.03	0.229039962465801	0.277016920585744	0.0167248110841042
"TMEM196"	0.13	0	0	0	0	0	0.17	0	0.03	0.04	-0.01	1	1	0
"TMEM198"	0.96	1.53	1.26	1.07	0.95	1.13	0.69	0.69	1.21	0.87	0.24	0.0651798099049661	0.104565902353638	0.235346378505202
"TMEM199"	11.56	11.71	10.01	13.47	13.85	13.25	13.47	16.08	11.69	14.16	-0.26	0.0389366380731458	0.073699492640609	-0.29445923049012
"TMEM200A"	0.27	0	0	0	0.12	0	0	0.03	0.07	0.04	0.04	1	1	0
"TMEM200B"	0.96	0.95	1.93	2.15	0.73	0.9	1.02	0.9	1.5	0.89	0.4	0.0181172476236749	0.0466936932224216	0.532296709732157
"TMEM200C"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM201"	3.23	3.22	3.98	4.91	3.49	4.98	6.16	4.97	3.83	4.9	-0.29	0.0134446820036573	0.0394714060088775	-0.407078046970935
"TMEM202"	0	0.06	0	0	0	0	0	0	0.02	0	0.02	1	1	0
"TMEM203"	30.6	31.13	27.28	38.5	32.75	34.85	35.58	35	31.88	34.55	-0.11	0.0647082982678192	0.10405850249435	-0.10809946711584
"TMEM204"	0.71	1.32	0.61	0.98	1.44	1.36	1.41	1.44	0.91	1.41	-0.34	0.0279619339352642	0.0602274647430865	-0.414869842099438
"TMEM205"	89.02	91.75	106.36	113.46	78.14	115.82	103.03	95.14	100.15	98.03	0.03	0.130020832746303	0.175608219176347	0.0226636548363717
"TMEM207"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM208"	126.07	150.65	167.27	152.05	114.67	99.68	83.44	84.59	149.01	95.59	0.64	0.000651676986263186	0.00577459505040696	1.43262621806621
"TMEM209"	17.17	15.86	19.07	16.48	14.11	14.42	16.03	14.66	17.15	14.8	0.2	0.013838037857144	0.0400894229423518	0.279394039010589
"TMEM210"	0	0.11	0	0	0	0	0	0	0.03	0	0.04	1	1	0
"TMEM212"	3.5	1.95	2.47	1.57	2.04	2.66	2.84	3.83	2.37	2.84	-0.19	0.183142806778622	0.230641591368753	-0.121041851076573
"TMEM213"	0.57	0.75	0.8	0.6	0.58	0.6	0.95	0.66	0.68	0.7	-0.02	0.140060829464511	0.185923331140832	-0.0146133221615352
"TMEM214"	79.08	83.31	86.65	90.13	54.41	49.68	42.54	47.83	84.79	48.62	0.79	1.03883709887641e-05	0.000907536297570351	2.40328743685793
"TMEM215"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM216"	16.5	15.04	18.03	14.93	10.84	11.42	11.24	10.75	16.13	11.06	0.51	0.00174681938980546	0.0108735374161944	1.00145086485175
"TMEM217"	2.88	2.21	2.63	1.68	4.92	1.77	2.53	1.7	2.35	2.73	-0.15	0.318328290563062	0.366103044938693	-0.0654594988508189
"TMEM217B"	0.24	0	0.08	0	0.41	0	0	0	0.08	0.1	-0.03	1	1	0
"TMEM218"	16.34	19.06	16.34	17.13	18.21	25.78	32.5	25.88	17.22	25.6	-0.55	0.00305360323647585	0.0156812559176993	-0.992540536597395
"TMEM219"	145.44	148.71	131.03	168.73	138.59	126.62	139.87	140.07	148.48	136.29	0.12	0.0351434571063045	0.0691566459586291	0.139219929338199
"TMEM220"	4.48	1.64	3.25	1.81	1.93	2.53	4	4.29	2.79	3.19	-0.14	0.345918738656607	0.393250267062739	-0.0567463363275247
"TMEM221"	0.55	0.27	0.26	0.34	0.27	0.21	0.21	0.27	0.36	0.24	0.13	0.114539980670057	0.15958765532723	0.103610091768162
"TMEM222"	38.87	39.1	44.65	50.06	41.9	64.27	56.81	50.03	43.17	53.25	-0.3	0.0311186064148635	0.0642477531866382	-0.357642616643545
"TMEM223"	21.53	26.59	27.03	27.7	16.79	19.4	23.07	19.34	25.71	19.65	0.37	0.00535048315375236	0.0227106216877991	0.608195261527712
"TMEM225"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM225B"	4.54	4.01	4.62	6.73	4.02	3.24	4.73	2.98	4.97	3.74	0.33	0.0561675132475849	0.0939657020057625	0.338920110320206
"TMEM229A"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM229B"	8.71	5.59	4.5	7.03	12.28	8.23	8.3	12.39	6.46	10.3	-0.6	0.0228207476619119	0.053552597382331	-0.76273167622748
"TMEM230"	88.7	116.38	124.49	107.82	88.98	118.53	116.38	103.02	109.35	106.73	0.03	0.193355882868697	0.2412516572056	0.0185258908415634
"TMEM231"	6.79	7.57	6.05	7.21	8.68	7.32	9.75	8.58	6.9	8.58	-0.28	0.0142086177871363	0.0406333000109906	-0.389513013471419
"TMEM232"	0.47	0.44	1.24	1.37	1.19	1.14	3.11	2.77	0.88	2.05	-0.7	0.00402798786524715	0.0189469059716304	-1.20572319011429
"TMEM233"	0.03	0	0	0.09	0	0.02	0.02	0.01	0.03	0.01	0.02	1	1	0
"TMEM234"	8.05	12.36	9.26	12.34	11.35	13.66	15.72	16.69	10.5	14.35	-0.42	0.0054989564798857	0.0230868422849669	-0.687386894828667
"TMEM235"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM236"	0.85	0.72	0.72	0.68	0.76	0.59	0.73	0.81	0.74	0.72	0.02	0.086341914112182	0.128499430204101	0.017821975961792
"TMEM237"	11.24	9.08	8.36	10.28	15.56	8.69	9.43	9.89	9.74	10.89	-0.15	0.690705667853398	0.740172403281091	-0.0196000666877097
"TMEM238"	10.24	7.82	12.32	15.38	8.45	13.61	13.65	19.57	11.44	13.82	-0.25	0.0743630023429175	0.114978932258517	-0.234845432176962
"TMEM238L"	3.33	5.65	4.23	6.18	2.02	4.18	2.05	3.9	4.85	3.04	0.53	0.0352550197753052	0.0692940078767009	0.614431289018757
"TMEM239"	0.02	0.06	0.11	0.13	0.02	0.04	0.01	0.09	0.08	0.04	0.06	0.143754464236468	0.189900248739489	0.0432884679843045
"TMEM240"	2.02	2.47	3.03	2.4	1.98	2.88	5	2.12	2.48	2.99	-0.2	0.212653940409353	0.260511803763934	-0.116834518815767
"TMEM241"	6.4	7.64	10.08	9.32	6.41	5.04	6.57	7.06	8.36	6.27	0.36	0.0290429040962197	0.0615480311535674	0.435882900622009
"TMEM242"	11.93	13.07	13.32	13.17	12.95	12.12	11.28	11.89	12.87	12.06	0.09	0.0303917648463071	0.0633686963233132	0.107831270472463
"TMEM243"	27.19	29.56	33.52	30.05	19.94	31.99	28.62	29.02	30.08	27.39	0.13	0.0722188256322697	0.112586053864409	0.123307002338065
"TMEM244"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM245"	42.32	50.51	43.33	43.89	43.76	64.64	59.61	50.44	45.01	54.61	-0.27	0.056513098346726	0.0943937964767132	-0.276765267535327
"TMEM247"	0	0	0	0	0.18	0	0	0	0	0.04	-0.06	1	1	0
"TMEM248"	50.41	59.6	63.25	62.72	48.11	55.9	54.45	53.93	58.99	53.1	0.15	0.0199316728172736	0.0493081112047947	0.196062244983479
"TMEM249"	0.57	0.83	0.61	0.38	0.32	0.09	0.29	0	0.6	0.17	0.45	1	1	0
"TMEM25"	44.19	52.07	46.92	52.51	38.47	48.01	44.95	40.11	48.92	42.88	0.19	0.0290243489713916	0.0615279664797996	0.230076213268448
"TMEM250"	25.48	23.68	20.13	27.07	25.63	22.93	21.76	26.04	24.09	24.09	0	0.470432018884835	0.518411158821361	0
"TMEM252"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM253"	0.31	0.27	0.4	0.36	0.27	0.52	0.44	0.89	0.34	0.53	-0.2	0.140373541163907	0.186228819296868	-0.145990622036017
"TMEM254"	40.77	34.25	29.66	27.88	37.11	27.69	25.98	23.94	33.14	28.68	0.2	0.0224431508554277	0.0531006563854589	0.254980022100765
"TMEM255A"	0.31	0.36	0.44	0.49	0.14	0.2	0.29	0.18	0.4	0.2	0.22	0.0168630603343467	0.0448284313774227	0.296658220664574
"TMEM255B"	4.89	6.18	7.82	6.51	1.15	1.74	1.64	1.13	6.35	1.41	1.61	2.05666540818044e-06	0.000540958280294363	5.25960632578826
"TMEM256"	147.18	155.84	143.51	129.03	129.98	132.53	144.8	131.31	143.89	134.65	0.1	0.0271451315761243	0.0590889474711387	0.122849374587323
"TMEM256-PLSCR3"	1.54	1.79	1.28	0.74	0.8	0.13	0.61	0.56	1.34	0.52	0.62	0.0334964583250096	0.0672823383631245	0.726701332424992
"TMEM258"	165.32	190.2	234.85	147.27	144.5	144.32	158.1	149.96	184.41	149.22	0.3	0.054205854022698	0.0915278223983647	0.311534061034493
"TMEM259"	125.72	151.3	122.66	133.25	121.24	128.36	125.48	113.98	133.23	122.27	0.12	0.0220055583822733	0.0523714374525203	0.153708660688904
"TMEM26"	0	0	0	0.01	0	0	0	0	0	0	0	1	1	0
"TMEM260"	12.01	12.47	14.66	13.28	11.32	11.77	14.93	13.86	13.1	12.97	0.01	0.0405718309926667	0.075642721631066	0.0112123285359631
"TMEM262"	0.22	0	0.32	1.38	0	0	0.18	0.17	0.48	0.09	0.44	1	1	0
"TMEM263"	49.39	57.17	57.3	55.37	34.79	22.11	19.28	23.96	54.81	25.03	1.1	9.49310417471808e-05	0.00199279444816622	2.97059124493377
"TMEM265"	51.39	43.3	42.1	31.25	47.96	28.24	39.59	26.9	42.01	35.67	0.23	0.0869581834160967	0.129209514627871	0.204402266133998
"TMEM266"	0.8	0.71	0.93	0.68	1.24	0.64	1.65	1.09	0.78	1.15	-0.27	0.0781593909090831	0.11940338064169	-0.249205511776042
"TMEM267"	14.67	16.84	14.88	12.93	14.93	16.29	16.8	14.12	14.83	15.54	-0.06	0.0539898990377522	0.0912886636451615	-0.0623749890250707
"TMEM268"	5.92	4.85	4.75	5.88	6.97	5.59	5.98	6.23	5.35	6.19	-0.18	0.047263352791197	0.0835412015583042	-0.194057870876167
"TMEM269"	0.66	0.72	1.24	1.44	0.52	0.43	0.53	0.72	1.02	0.55	0.38	0.00980481775992046	0.0327213791618092	0.564363991882503
"TMEM270"	0.12	0	0.05	0.06	0	0	0	0	0.06	0	0.08	1	1	0
"TMEM271"	0	0	0.02	0	0	0	0	0	0	0	0.01	1	1	0
"TMEM272"	0.08	0.03	0.01	0.09	0.07	0.07	0.06	0.1	0.05	0.08	-0.04	0.172620443031247	0.220200914237679	-0.0262872352896742
"TMEM273"	1.23	0.63	0.3	0.23	1.76	1.8	1.07	1.81	0.6	1.61	-0.71	0.00142427124358417	0.0095108061976395	-1.4354656941978
"TMEM275"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"TMEM276"	9.02	8.94	7.55	13.15	12.14	18.53	21.14	16.22	9.66	17.01	-0.76	0.00142212280155715	0.00950245961554766	-1.53684461524432
"TMEM30A"	312.87	380.82	326.19	342.99	286.59	276.47	236.8	255.88	340.72	263.94	0.37	0.00372568119547777	0.017952870376011	0.645970458780641
"TMEM30B"	25.95	31.3	33.87	29.29	31.46	39.27	38.65	41.21	30.1	37.65	-0.31	0.00312695873346474	0.0159335605443752	-0.557283021170404
"TMEM31"	0.88	1.21	4.16	3.41	0.23	0.34	0.18	0.17	2.42	0.23	1.47	0.000410053847940092	0.00439941647862843	3.46420923653541
"TMEM33"	49.09	56.05	68.49	52.99	52.82	60.21	66.67	59.97	56.65	59.92	-0.08	0.0462960361630986	0.0824770597980672	-0.0866933463594132
"TMEM35A"	0.25	0.16	0.24	0	0.08	0.09	0.16	0.02	0.16	0.09	0.1	1	1	0
"TMEM35B"	24	25.94	25.4	25.15	27.64	28	30	26.43	25.12	28.02	-0.15	0.0179906188497965	0.0464887721661299	-0.199897788599047
"TMEM37"	0.05	0.04	0.13	0.11	0.49	0.08	0.68	0.37	0.08	0.4	-0.38	0.011151197927677	0.0353479539129133	-0.55162157356829
"TMEM38A"	4.08	3.9	6.19	5.12	3.05	5.16	4.29	3.61	4.82	4.03	0.21	0.0856622882492484	0.127668512301986	0.187722402492006
"TMEM38B"	8.14	11.87	22.82	15.03	7.08	8.47	11.67	7.41	14.47	8.66	0.68	0.024207674245216	0.0554231103168934	0.854290191728721
"TMEM39A"	39.66	39.72	52.6	40.22	25.58	17.83	18.68	21.8	43.05	20.97	1	4.67830527526724e-05	0.00149091103084888	2.82654827201598
"TMEM39B"	9.75	7.91	8.73	9.21	10.06	8.39	9.93	9.34	8.9	9.43	-0.08	0.0510059099338602	0.0879496771399145	-0.084461260038635
